Chr	Start	End	GeneID	Symbol	Description	Region	DistanceTSS	logFC	pValue	FDR	Direction
chr4	126426776	126427176	ENSMUSG00000042500	Ago4	argonaute RISC catalytic subunit 4	Promoter (<=1kb)	75	0.6435620126857161	2.09687964466177e-06	4.51801902818875e-05	treated
chr10	21870055	21870455	ENSMUSG00000019970	Sgk1	serum/glucocorticoid regulated kinase 1	Promoter (<=1kb)	-110	0.6541534533770129	2.10042695365181e-06	4.51900681351854e-05	treated
chr2	120561638	120562038	ENSMUSG00000027284	Cdan1	congenital dyserythropoietic anemia, type I (human)	Promoter (<=1kb)	0	0.6147409804965049	2.1072924817183202e-06	4.52712026542423e-05	treated
chr11	32171776	32172176	ENSMUSG00000020282	Rhbdf1	rhomboid 5 homolog 1	Promoter (<=1kb)	117	0.693067634379177	2.11901569090308e-06	4.53917501779989e-05	treated
chr12	102670793	102671193	ENSMUSG00000057963	Itpk1	inositol 1,3,4-triphosphate 5/6 kinase	Promoter (<=1kb)	0	0.621375292350899	2.11910904795443e-06	4.53917501779989e-05	treated
chr19	56810317	56810717	ENSMUSG00000035173	Ccdc186	coiled-coil domain containing 186	Promoter (<=1kb)	0	0.674294342513778	2.12326027559822e-06	4.54141781169619e-05	treated
chr1	182236673	182237073	ENSMUSG00000026510	Trp53bp2	transformation related protein 53 binding protein 2	Promoter (<=1kb)	0	0.622471826110532	2.1316029882761902e-06	4.55260609028914e-05	treated
chr16	26572353	26572753	ENSMUSG00000092545	Gm20319	predicted gene, 20319	Promoter (1-2kb)	1499	-1.19805849694782	2.15219814915407e-06	4.58989197115511e-05	control
chr5	34919041	34919441	ENSMUSG00000029104	Htt	huntingtin	Promoter (<=1kb)	0	0.5781348023614878	2.17954252444422e-06	4.64144208626185e-05	treated
chr11	69811746	69812146	ENSMUSG00000078812	Eif5a	eukaryotic translation initiation factor 5A	Promoter (<=1kb)	0	0.667735526650572	2.19712929976193e-06	4.6720932638832794e-05	treated
chr14	30347859	30348259	ENSMUSG00000021948	Prkcd	protein kinase C, delta	Promoter (<=1kb)	0	0.5714194635525021	2.20228346160949e-06	4.67625646492698e-05	treated
chr18	65020869	65021269	ENSMUSG00000024589	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	Promoter (<=1kb)	42	0.674466814280171	2.2119640485554e-06	4.69000493193704e-05	treated
chr19	5323098	5323498	ENSMUSG00000024855	Pacs1	phosphofurin acidic cluster sorting protein 1	Promoter (<=1kb)	0	0.580138526845945	2.2239279032595797e-06	4.708258638196721e-05	treated
chr3	32564700	32565100	ENSMUSG00000027667	Zfp639	zinc finger protein 639	Promoter (<=1kb)	0	0.617510677727189	2.22700955408895e-06	4.708258638196721e-05	treated
chr14	101891355	101891755	ENSMUSG00000022111	Uchl3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	Promoter (<=1kb)	0	0.654077991346537	2.26157533669003e-06	4.7744368219011796e-05	treated
chr1	143653039	143653439	ENSMUSG00000018189	Uchl5	ubiquitin carboxyl-terminal esterase L5	Promoter (<=1kb)	23	0.593436512855995	2.26847494450647e-06	4.78210208042214e-05	treated
chr5	122959052	122959452	ENSMUSG00000029472	Anapc5	anaphase-promoting complex subunit 5	Promoter (<=1kb)	0	0.647780890479628	2.2766299549314702e-06	4.78828557552187e-05	treated
chr6	17637199	17637599	ENSMUSG00000015733	Capza2	capping protein (actin filament) muscle Z-line, alpha 2	Promoter (<=1kb)	190	0.7229593449707109	2.27795404002954e-06	4.78828557552187e-05	treated
chr7	80020754	80021154	ENSMUSG00000038886	Man2a2	mannosidase 2, alpha 2	Promoter (<=1kb)	0	0.6539120859675439	2.29229377497377e-06	4.81151476726918e-05	treated
chr5	124492044	124492444	ENSMUSG00000029394	Cdk2ap1	CDK2 (cyclin-dependent kinase 2)-associated protein 1	Promoter (<=1kb)	247	0.7389140515271669	2.3154854965413998e-06	4.85323106223505e-05	treated
chr19	57599069	57599469	ENSMUSG00000054843	Atrnl1	attractin like 1	Promoter (<=1kb)	0	0.632423529423987	2.33122125278544e-06	4.8792227365166e-05	treated
chr15	25984611	25985011	ENSMUSG00000052253	Zfp622	zinc finger protein 622	Promoter (<=1kb)	159	0.762288444986068	2.38581408632147e-06	4.98095125006171e-05	treated
chr6	37847757	37848157	ENSMUSG00000029833	Trim24	tripartite motif-containing 24	Promoter (<=1kb)	11	0.613129819838765	2.3872803583730203e-06	4.98095125006171e-05	treated
chr8	105897524	105897924	ENSMUSG00000031885	Cbfb	core binding factor beta	Promoter (<=1kb)	218	0.699144662195991	2.39003949251081e-06	4.98095125006171e-05	treated
chr4	45972271	45972671	ENSMUSG00000035517	Tdrd7	tudor domain containing 7	Promoter (<=1kb)	0	0.656230129138027	2.39464333091015e-06	4.98170612015635e-05	treated
chr11	62539024	62539424	ENSMUSG00000046417	Lrrc75a	leucine rich repeat containing 75A	Promoter (<=1kb)	0	0.712384231345167	2.39721196759403e-06	4.98170612015635e-05	treated
chr3	14643694	14644094	ENSMUSG00000027552	E2f5	E2F transcription factor 5	Promoter (<=1kb)	0	0.5745806015721661	2.40084995103604e-06	4.98199203653682e-05	treated
chr4	102976627	102977027	ENSMUSG00000028522	Mier1	MEIR1 treanscription regulator	Promoter (<=1kb)	40	0.699938333419195	2.40416020355092e-06	4.98199203653682e-05	treated
chr5	77413256	77413656	ENSMUSG00000029249	Rest	RE1-silencing transcription factor	Promoter (<=1kb)	0	0.7087976077173771	2.41500119012275e-06	4.99737870035302e-05	treated
chr19	21630626	21631026	ENSMUSG00000047368	Abhd17b	abhydrolase domain containing 17B	Promoter (<=1kb)	0	0.8100218577323341	2.42264588848553e-06	4.99905632560554e-05	treated
chr2	140237704	140238104	ENSMUSG00000068205	Macrod2	mono-ADP ribosylhydrolase 2	Promoter (<=1kb)	349	0.7174477544372501	2.4530401113205202e-06	5.0546446237491796e-05	treated
chr16	17906704	17907104	ENSMUSG00000003526	Prodh	proline dehydrogenase	Promoter (<=1kb)	0	0.599155722255736	2.45738434139021e-06	5.0564743902304996e-05	treated
chr18	69479203	69479603	ENSMUSG00000053477	Tcf4	transcription factor 4	Promoter (<=1kb)	0	0.727796856337517	2.4796816168674998e-06	5.095188490838711e-05	treated
chr7	120634128	120634528	ENSMUSG00000030876	Mettl9	methyltransferase like 9	Promoter (<=1kb)	460	0.637062579882837	2.49264323553217e-06	5.11463822381986e-05	treated
chr4	120427173	120427573	ENSMUSG00000028633	Ctps	cytidine 5'-triphosphate synthase	Promoter (<=1kb)	0	0.63269828816739	2.50616723183493e-06	5.1275481617438794e-05	treated
chr12	113062168	113062568	ENSMUSG00000021144	Mta1	metastasis associated 1	Promoter (<=1kb)	270	0.6838212737383771	2.5088807936232e-06	5.1275481617438794e-05	treated
chr7	97229184	97229584	ENSMUSG00000035623	Rsf1	remodeling and spacing factor 1	Promoter (<=1kb)	81	0.702010052008165	2.5094494079347998e-06	5.1275481617438794e-05	treated
chr16	64590862	64591262	ENSMUSG00000059920	4930453N24Rik	RIKEN cDNA 4930453N24 gene	Promoter (<=1kb)	40	0.636671108628759	2.51901665753721e-06	5.13741806990173e-05	treated
chr14	55822432	55822832	ENSMUSG00000022217	Emc9	ER membrane protein complex subunit 9	Promoter (<=1kb)	0	0.598563379270956	2.52130292152389e-06	5.13741806990173e-05	treated
chr12	81907357	81907757	ENSMUSG00000021140	Pcnx	pecanex homolog	Promoter (<=1kb)	553	0.692877344999223	2.5269628863131e-06	5.14178957256755e-05	treated
chr15	36793432	36793832	ENSMUSG00000022285	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Promoter (<=1kb)	950	0.739051869971163	2.54412249384182e-06	5.1631450197637105e-05	treated
chr10	40225292	40225692	ENSMUSG00000038481	Cdk19	cyclin-dependent kinase 19	Promoter (<=1kb)	0	0.5874547988172379	2.5445164451467097e-06	5.1631450197637105e-05	treated
chr2	37342191	37342591	ENSMUSG00000035437	Rabgap1	RAB GTPase activating protein 1	Promoter (<=1kb)	0	0.6276461324546179	2.55527166535294e-06	5.17778732189938e-05	treated
chr1	155292695	155293095	ENSMUSG00000026469	Xpr1	xenotropic and polytropic retrovirus receptor 1	Promoter (<=1kb)	95	0.655482369818165	2.5653091402018996e-06	5.1894349191469897e-05	treated
chr1	136273507	136273907	ENSMUSG00000041570	Camsap2	calmodulin regulated spectrin-associated protein family, member 2	Promoter (<=1kb)	0	0.6527541325409829	2.56811406798525e-06	5.1894349191469897e-05	treated
chr4	109137734	109138134	ENSMUSG00000028552	Eps15	epidermal growth factor receptor pathway substrate 15	Promoter (<=1kb)	262	0.6764944879607441	2.5819161977563598e-06	5.2101288238862894e-05	treated
chr5	124767053	124767453	ENSMUSG00000038023	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	Promoter (<=1kb)	0	0.651103155218244	2.5891974184049303e-06	5.2176251007250897e-05	treated
chr5	110957459	110957859	ENSMUSG00000029512	Ulk1	unc-51 like kinase 1	Promoter (<=1kb)	88	0.7248068953252751	2.5930224011793997e-06	5.21814549233215e-05	treated
chr10	75047877	75048277	ENSMUSG00000033444	Specc1l	sperm antigen with calponin homology and coiled-coil domains 1-like	Promoter (<=1kb)	0	0.5618285248019941	2.59767260495799e-06	5.22032283111749e-05	treated
chr6	119152169	119152569	ENSMUSG00000041477	Dcp1b	decapping mRNA 1B	Promoter (<=1kb)	0	0.626627025215875	2.6033563567090098e-06	5.22456838115951e-05	treated
chr1	23961062	23961462	ENSMUSG00000026155	Smap1	small ArfGAP 1	Promoter (<=1kb)	0	0.6712132731355029	2.61295635489126e-06	5.234951506948429e-05	treated
chr9	83430360	83430760	ENSMUSG00000032261	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2	Promoter (<=1kb)	0	0.5829411420024929	2.62049566718335e-06	5.234951506948429e-05	treated
chr11	65053486	65053886	ENSMUSG00000033389	Arhgap44	Rho GTPase activating protein 44	Promoter (<=1kb)	0	0.8127063041319929	2.6241671896449903e-06	5.234951506948429e-05	treated
chr1	52765956	52766356	ENSMUSG00000041439	Mfsd6	major facilitator superfamily domain containing 6	Promoter (<=1kb)	121	0.6391591018839371	2.62556561084911e-06	5.234951506948429e-05	treated
chr6	146626497	146626897	ENSMUSG00000001630	Stk38l	serine/threonine kinase 38 like	Promoter (<=1kb)	69	0.689647128604768	2.63044087186659e-06	5.234951506948429e-05	treated
chr2	118576359	118576759	ENSMUSG00000074918	Inafm2	InaF motif containing 2	Promoter (<=1kb)	120	0.6293972337243111	2.63357779160222e-06	5.234951506948429e-05	treated
chr17	24768975	24769375	ENSMUSG00000032855	Pkd1	polycystin 1, transient receptor potential channel interacting	Promoter (<=1kb)	51	0.6015256361854711	2.65776726084901e-06	5.2758663536256395e-05	treated
chr10	74896724	74897124	ENSMUSG00000009681	Bcr	BCR activator of RhoGEF and GTPase	Promoter (<=1kb)	0	0.691144474469844	2.66153639700392e-06	5.27618936154029e-05	treated
chr18	80750995	80751395	ENSMUSG00000033016	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	Promoter (<=1kb)	0	0.685243010970027	2.67214664078529e-06	5.29005485178468e-05	treated
chr11	115598971	115599371	ENSMUSG00000059923	Grb2	growth factor receptor bound protein 2	Promoter (<=1kb)	52	0.676386335122347	2.69010971989005e-06	5.31841962189073e-05	treated
chr16	78373107	78373507	ENSMUSG00000022864	D16Ertd472e	DNA segment, Chr 16, ERATO Doi 472, expressed	Promoter (<=1kb)	69	0.6096363987980771	2.70943678702851e-06	5.34940083592808e-05	treated
chr5	3593791	3594191	ENSMUSG00000058503	Fam133b	family with sequence similarity 133, member B	Promoter (<=1kb)	0	0.6891592323442729	2.73232859349426e-06	5.3873271324556603e-05	treated
chr7	99770251	99770651	ENSMUSG00000030726	Pold3	polymerase (DNA-directed), delta 3, accessory subunit	Promoter (<=1kb)	56	0.581319315171814	2.74532202143453e-06	5.4043862717819395e-05	treated
chr8	35432490	35432890	ENSMUSG00000031529	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	Promoter (<=1kb)	0	0.697790440183347	2.7495322840917005e-06	5.4043862717819395e-05	treated
chr5	123037896	123038296	ENSMUSG00000029475	Kdm2b	lysine (K)-specific demethylase 2B	Promoter (<=1kb)	117	0.591512020216645	2.7520627289662e-06	5.4043862717819395e-05	treated
chr5	109706551	109706951	ENSMUSG00000033467	Crlf2	cytokine receptor-like factor 2	Promoter (<=1kb)	0	0.828146548923217	2.7758298173698e-06	5.443752041302971e-05	treated
chr19	29229128	29229528	ENSMUSG00000024789	Jak2	Janus kinase 2	Promoter (<=1kb)	0	0.635358875634954	2.7859361779213602e-06	5.45625786920877e-05	treated
chr11	53749838	53750238	ENSMUSG00000081769	Gm12216	predicted gene 12216	Promoter (<=1kb)	0	0.5791074647018721	2.8317454733195597e-06	5.53856099928678e-05	treated
chr1	53823988	53824388	ENSMUSG00000026094	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)	Promoter (<=1kb)	0	0.6090457201516779	2.8529758279606096e-06	5.5721460858911096e-05	treated
chr2	174172146	174172546	ENSMUSG00000027523	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	Promoter (<=1kb)	347	0.793517666008272	2.86328162691745e-06	5.5721460858911096e-05	treated
chr4	132649474	132649874	ENSMUSG00000028878	Fam76a	family with sequence similarity 76, member A	Promoter (<=1kb)	0	0.587330129269925	2.86662343867481e-06	5.5721460858911096e-05	treated
chr9	64718722	64719122	ENSMUSG00000053641	Dennd4a	DENN/MADD domain containing 4A	Promoter (<=1kb)	429	0.63058626974115	2.86792585549536e-06	5.5721460858911096e-05	treated
chr4	70452785	70453185	ENSMUSG00000039270	Megf9	multiple EGF-like-domains 9	Promoter (<=1kb)	0	0.6588660644866079	2.86796035726316e-06	5.5721460858911096e-05	treated
chr12	40087471	40087871	ENSMUSG00000047446	Arl4a	ADP-ribosylation factor-like 4A	Promoter (<=1kb)	-96	0.6742805819815662	2.87563313186825e-06	5.5796435967151796e-05	treated
chr13	69957937	69958337	ENSMUSG00000021598	Med10	mediator complex subunit 10	Promoter (<=1kb)	0	0.6500578916255689	2.88561249048355e-06	5.58915036906302e-05	treated
chr16	4030926	4031326	ENSMUSG00000022521	Crebbp	CREB binding protein	Promoter (<=1kb)	0	0.629131245753583	2.8881733964536202e-06	5.58915036906302e-05	treated
chr11	100960836	100961236	ENSMUSG00000001751	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	Promoter (<=1kb)	0	0.565888801025709	2.91944236477724e-06	5.642198387938039e-05	treated
chr4	95855512	95855912	ENSMUSG00000044125	9530080O11Rik	RIKEN cDNA 9530080O11 gene	Promoter (<=1kb)	0	0.7018473831940861	2.9317575437357e-06	5.65852412465083e-05	treated
chr16	59292077	59292477	ENSMUSG00000022724	Riox2	ribosomal oxygenase 2	Promoter (<=1kb)	0	0.600518567180641	2.94827452736442e-06	5.6829059730357705e-05	treated
chr17	12988245	12988645	ENSMUSG00000023830	Igf2r	insulin-like growth factor 2 receptor	Promoter (<=1kb)	0	0.6941055346827351	2.9542845520251e-06	5.6869977626483206e-05	treated
chrX	158315634	158316034	ENSMUSG00000044150	Bclaf3	Bclaf1 and Thrap3 family member 3	Promoter (<=1kb)	0	0.759590987075381	2.97254845122686e-06	5.7146365100458605e-05	treated
chr5	43939104	43939504	ENSMUSG00000039753	Fbxl5	F-box and leucine-rich repeat protein 5	Promoter (<=1kb)	0	0.654769651654192	2.9832451536492002e-06	5.727674094211e-05	treated
chr6	30873379	30873779	ENSMUSG00000025607	Copg2	coatomer protein complex, subunit gamma 2	Promoter (<=1kb)	0	0.606377408957023	2.98896707170576e-06	5.731138697123879e-05	treated
chr4	133480345	133480745	ENSMUSG00000007880	Arid1a	AT rich interactive domain 1A (SWI-like)	Promoter (<=1kb)	551	0.705220503180963	2.99562520607047e-06	5.736387011100911e-05	treated
chr4	11321813	11322213	ENSMUSG00000045205	Dpy19l4	dpy-19-like 4 (C. elegans)	Promoter (<=1kb)	0	0.5932131365705821	3.00127222605525e-06	5.73968793035141e-05	treated
chr2	18397215	18397615	ENSMUSG00000026740	Dnajc1	DnaJ heat shock protein family (Hsp40) member C1	Promoter (<=1kb)	26	0.621190538629583	3.00821003678654e-06	5.74544554023329e-05	treated
chr19	38825052	38825452	ENSMUSG00000048720	Tbc1d12	TBC1D12: TBC1 domain family, member 12	Promoter (<=1kb)	29	0.626803249883712	3.01344375038133e-06	5.745534644100129e-05	treated
chr2	29855639	29856039	ENSMUSG00000057738	Sptan1	spectrin alpha, non-erythrocytic 1	Promoter (<=1kb)	67	0.633023958643025	3.01611114604846e-06	5.745534644100129e-05	treated
chr14	21800594	21800994	ENSMUSG00000021770	Samd8	sterile alpha motif domain containing 8	Promoter (<=1kb)	0	0.689235395748802	3.0289746385861598e-06	5.762535625814761e-05	treated
chr8	23727362	23727762	ENSMUSG00000031546	Gins4	GINS complex subunit 4 (Sld5 homolog)	Promoter (<=1kb)	0	0.5916894573632061	3.06539075597146e-06	5.82383928433183e-05	treated
chr1	37338913	37339313	ENSMUSG00000026113	Inpp4a	inositol polyphosphate-4-phosphatase, type I	Promoter (<=1kb)	0	0.613523769622374	3.0691593220914798e-06	5.82383928433183e-05	treated
chr10	117681569	117681969	ENSMUSG00000052681	Rap1b	RAS related protein 1b	Promoter (<=1kb)	0	0.7326246185037951	3.07555299728675e-06	5.82431904027984e-05	treated
chr2	160208565	160208965	ENSMUSG00000074622	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	Promoter (<=1kb)	20	0.661474606414384	3.07737431178149e-06	5.82431904027984e-05	treated
chr16	32065420	32065820	ENSMUSG00000035764	Fbxo45	F-box protein 45	Promoter (<=1kb)	23	0.648958046679807	3.08383921699594e-06	5.82804414528959e-05	treated
chr2	104646896	104647296	ENSMUSG00000074994	Qser1	glutamine and serine rich 1	Promoter (<=1kb)	0	0.6816892522962309	3.08991096303399e-06	5.82804414528959e-05	treated
chr8	109441562	109441962	ENSMUSG00000038872	Zfhx3	zinc finger homeobox 3	Promoter (<=1kb)	286	0.70171777185312	3.0952770341011698e-06	5.82804414528959e-05	treated
chr7	141648735	141649135	ENSMUSG00000037887	Dusp8	dual specificity phosphatase 8	Promoter (<=1kb)	0	0.7807902104573509	3.12849088357577e-06	5.88301049186549e-05	treated
chr17	15925213	15925613	ENSMUSG00000023852	Chd1	chromodomain helicase DNA binding protein 1	Promoter (<=1kb)	0	0.719223658748631	3.1480969477478403e-06	5.9122796335752197e-05	treated
chr17	28075370	28075770	ENSMUSG00000039512	Uhrf1bp1	UHRF1 (ICBP90) binding protein 1	Promoter (<=1kb)	0	0.5908361486242351	3.15921472669664e-06	5.918407597362479e-05	treated
chr13	42205700	42206100	ENSMUSG00000021366	Hivep1	human immunodeficiency virus type I enhancer binding protein 1	Promoter (<=1kb)	203	0.803780071429832	3.15945067227621e-06	5.918407597362479e-05	treated
chr4	156281610	156282010	ENSMUSG00000041936	Agrn	agrin	Promoter (<=1kb)	0	0.609768988608583	3.17137136129528e-06	5.93314105060741e-05	treated
chr13	14238487	14238887	ENSMUSG00000039219	Arid4b	AT rich interactive domain 4B (RBP1-like)	Promoter (<=1kb)	118	0.746617245739131	3.18738630070426e-06	5.95548679173734e-05	treated
chr10	21254728	21255128	ENSMUSG00000037542	Aldh8a1	aldehyde dehydrogenase 8 family, member A1	Promoter (1-2kb)	1529	-1.13209510698652	3.21987565601852e-06	6.0085179652488407e-05	control
chr17	28039156	28039556	ENSMUSG00000056692	Ilrun	inflammation and lipid regulator with UBA-like and NBR1-like domains	Promoter (<=1kb)	0	0.678753378349057	3.2392128155554e-06	6.0276495785835e-05	treated
chr7	141142082	141142482	ENSMUSG00000002957	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit	Promoter (<=1kb)	0	0.632291142776246	3.24380674063249e-06	6.0276495785835e-05	treated
chr3	129854340	129854740	ENSMUSG00000001052	Sec24b	Sec24 related gene family, member B (S. cerevisiae)	Promoter (<=1kb)	0	0.626986592810527	3.24978350269228e-06	6.0276495785835e-05	treated
chr15	78946744	78947144	ENSMUSG00000033055	Ankrd54	ankyrin repeat domain 54	Promoter (<=1kb)	0	0.5650528913814971	3.2546431662148497e-06	6.0276495785835e-05	treated
chr13	24945466	24945866	ENSMUSG00000006715	Gmnn	geminin	Promoter (<=1kb)	54	0.6284094768063431	3.2548483712105e-06	6.0276495785835e-05	treated
chr15	41652285	41652685	ENSMUSG00000022307	Oxr1	oxidation resistance 1	Promoter (<=1kb)	0	0.691004825485415	3.2667639448801103e-06	6.04206782725614e-05	treated
chr8	36716183	36716583	ENSMUSG00000039633	Lonrf1	LON peptidase N-terminal domain and ring finger 1	Promoter (<=1kb)	0	0.694777977600934	3.2857748785193804e-06	6.06955637282052e-05	treated
chr17	35598532	35598932	ENSMUSG00000035929	H2-Q4	histocompatibility 2, Q region locus 4	Promoter (<=1kb)	0	0.61586534865493	3.29717888065296e-06	6.08294161714412e-05	treated
chr9	119812451	119812851	ENSMUSG00000032515	Csrnp1	cysteine-serine-rich nuclear protein 1	Promoter (<=1kb)	0	0.710019873375535	3.3182852664840698e-06	6.1110523961723e-05	treated
chr9	94419871	94420271	ENSMUSG00000045414	Dipk2a	divergent protein kinase domain 2A	Promoter (<=1kb)	0	0.6691648947207621	3.32077009908201e-06	6.1110523961723e-05	treated
chr3	94489756	94490156	ENSMUSG00000028136	Snx27	sorting nexin family member 27	Promoter (<=1kb)	0	0.608127314350724	3.3509588905028703e-06	6.15617730684923e-05	treated
chr4	138640937	138641337	ENSMUSG00000041161	Otud3	OTU domain containing 3	Promoter (<=1kb)	0	0.608259334575859	3.35370698124323e-06	6.15617730684923e-05	treated
chr5	99400376	99400776	ENSMUSG00000089809	Rasgef1b	RasGEF domain family, member 1B	Promoter (<=1kb)	10	0.6251288498225699	3.3773334367781798e-06	6.19177796742667e-05	treated
chr9	15620924	15621324	ENSMUSG00000043885	Slc36a4	solute carrier family 36 (proton/amino acid symporter), member 4	Promoter (<=1kb)	0	0.647935366738652	3.38294546512956e-06	6.1943043998555e-05	treated
chr6	83752467	83752867	ENSMUSG00000014748	Tex261	testis expressed gene 261	Promoter (<=1kb)	0	0.6214524913278511	3.39901635347864e-06	6.2074146165779e-05	treated
chr18	80194474	80194874	ENSMUSG00000053950	Adnp2	ADNP homeobox 2	Promoter (<=1kb)	0	0.773941997416028	3.3993671891000197e-06	6.2074146165779e-05	treated
chr2	83554744	83555144	ENSMUSG00000027087	Itgav	integrin alpha V	Promoter (<=1kb)	3	0.668781149792787	3.40332779215258e-06	6.2074146165779e-05	treated
chr10	71120760	71121160	ENSMUSG00000019927	Ube2d1	ubiquitin-conjugating enzyme E2D 1	Promoter (<=1kb)	0	0.6143263122740811	3.4070771955653097e-06	6.2074146165779e-05	treated
chr7	19398624	19399024	ENSMUSG00000002981	Clptm1	cleft lip and palate associated transmembrane protein 1	Promoter (<=1kb)	0	0.583133492995353	3.41541780844254e-06	6.214870962377409e-05	treated
chr8	112470169	112470569	ENSMUSG00000031955	Bcar1	breast cancer anti-estrogen resistance 1	Promoter (<=1kb)	0	0.64742354689067	3.4397648176170095e-06	6.251398668538741e-05	treated
chr5	148943738	148944138	ENSMUSG00000086610	Gm15408	predicted gene 15408	Promoter (<=1kb)	0	-1.1670533522656101	3.4592481446383698e-06	6.26827696830928e-05	control
chr7	18828584	18828984	ENSMUSG00000040841	Six5	sine oculis-related homeobox 5	Promoter (<=1kb)	115	0.60881441431092	3.4608181455422006e-06	6.26827696830928e-05	treated
chr9	31297396	31297796	ENSMUSG00000042185	Nfrkb	nuclear factor related to kappa B binding protein	Promoter (<=1kb)	0	0.701183647616076	3.4619055300026705e-06	6.26827696830928e-05	treated
chr1	92838713	92839113	ENSMUSG00000026269	Rnpepl1	arginyl aminopeptidase (aminopeptidase B)-like 1	Promoter (<=1kb)	166	0.635736486069587	3.4813244941388e-06	6.28909020540166e-05	treated
chr13	55247709	55248109	ENSMUSG00000025878	Uimc1	ubiquitin interaction motif containing 1	Promoter (<=1kb)	4	0.610969139149265	3.48199799478834e-06	6.28909020540166e-05	treated
chr8	11685396	11685796	ENSMUSG00000031508	Ankrd10	ankyrin repeat domain 10	Promoter (<=1kb)	0	0.6419309276343089	3.4953650516420798e-06	6.30544891560095e-05	treated
chr7	112968360	112968760	ENSMUSG00000038187	Btbd10	BTB (POZ) domain containing 10	Promoter (<=1kb)	0	0.565040352265921	3.51159284203647e-06	6.32251680837307e-05	treated
chr2	66086679	66087079	ENSMUSG00000034848	Ttc21b	tetratricopeptide repeat domain 21B	Promoter (<=1kb)	0	0.657765998284884	3.5134696959721903e-06	6.32251680837307e-05	treated
chr16	91282066	91282466	ENSMUSG00000022967	Ifnar1	interferon (alpha and beta) receptor 1	Promoter (<=1kb)	0	0.5493931777930771	3.5422484291442e-06	6.36647352805646e-05	treated
chr8	124747491	124747891	ENSMUSG00000038697	Taf5l	TATA-box binding protein associated factor 5 like	Promoter (<=1kb)	0	0.598049823649421	3.54738871150442e-06	6.36788918396438e-05	treated
chr5	102217373	102217773	ENSMUSG00000043940	Wdfy3	WD repeat and FYVE domain containing 3	Promoter (<=1kb)	14	0.6992012528820419	3.56397324714881e-06	6.38287213296743e-05	treated
chr12	32429114	32429514	ENSMUSG00000090946	Ccdc71l	coiled-coil domain containing 71 like	Promoter (<=1kb)	326	0.6951906497248269	3.56493457789661e-06	6.38287213296743e-05	treated
chr1	106687065	106687465	ENSMUSG00000009905	Kdsr	3-ketodihydrosphingosine reductase	Promoter (<=1kb)	7	0.652683018982427	3.56882392670359e-06	6.38287213296743e-05	treated
chr12	46865887	46866287	ENSMUSG00000021047	Nova1	NOVA alternative splicing regulator 1	Promoter (<=1kb)	-337	0.855778640294361	3.5755131370710504e-06	6.38702774057991e-05	treated
chr5	31046183	31046583	ENSMUSG00000029165	Agbl5	ATP/GTP binding protein-like 5	Promoter (<=1kb)	0	0.590339104902345	3.59569718689532e-06	6.39976351884349e-05	treated
chr9	62029582	62029982	ENSMUSG00000092696	Mir5133	microRNA 5133	Promoter (<=1kb)	0	0.646405556817581	3.59582746463474e-06	6.39976351884349e-05	treated
chr10	17931338	17931738	ENSMUSG00000019854	Reps1	RalBP1 associated Eps domain containing protein	Promoter (<=1kb)	0	0.669359538094209	3.5969839848289598e-06	6.39976351884349e-05	treated
chr17	25407479	25407879	ENSMUSG00000015127	Unkl	unkempt family like zinc finger	Promoter (<=1kb)	-9	0.582373151178591	3.6009681480384002e-06	6.39976351884349e-05	treated
chr12	112555138	112555538	ENSMUSG00000037679	Inf2	inverted formin, FH2 and WH2 domain containing	Promoter (<=1kb)	0	0.5814492445330359	3.6045147912009805e-06	6.39976351884349e-05	treated
chr19	41836236	41836636	ENSMUSG00000047604	Frat2	frequently rearranged in advanced T cell lymphomas 2	Promoter (<=1kb)	0	0.645267584418837	3.61829960501416e-06	6.41251834189019e-05	treated
chr6	140569358	140569758	ENSMUSG00000030232	Aebp2	AE binding protein 2	Promoter (<=1kb)	130	0.70544444635571	3.62466196653691e-06	6.41251834189019e-05	treated
chr15	98507316	98507716	ENSMUSG00000022994	Adcy6	adenylate cyclase 6	Promoter (1-2kb)	-1802	0.648757756595494	3.6248480305831703e-06	6.41251834189019e-05	treated
chr1	127132668	127133068	ENSMUSG00000036155	Mgat5	mannoside acetylglucosaminyltransferase 5	Promoter (<=1kb)	0	0.558566259730311	3.63839333380803e-06	6.42870706203037e-05	treated
chr14	26760926	26761326	ENSMUSG00000040717	Il17rd	interleukin 17 receptor D	Promoter (<=1kb)	0	0.636394523899083	3.6653847214036498e-06	6.46858606443129e-05	treated
